"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: classType","Param: limit","Param: methodSize","Param: objectSize","Param: useAsm"
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,14077864.102885,118774.379341,"ns/op",GS,1000,16,128,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,39092779.367430,226778.223972,"ns/op",GS,1000,16,256,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,110663457.166778,316992.354295,"ns/op",GS,1000,16,512,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,258939938.685000,4831118.528728,"ns/op",GS,1000,16,1024,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,586333460.930000,17788484.553348,"ns/op",GS,1000,16,2048,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,1678098606.870000,63907449.999826,"ns/op",GS,1000,16,4096,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,172275.800831,787.037974,"ns/op",GS,1000,32,2,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,469880.381669,16693.243330,"ns/op",GS,1000,32,4,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,877536.616550,10392.172032,"ns/op",GS,1000,32,8,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,1238869.091195,2951.057604,"ns/op",GS,1000,32,16,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,2626429.870621,11830.873704,"ns/op",GS,1000,32,32,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,6039462.576917,26876.085198,"ns/op",GS,1000,32,64,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,14098205.523557,98850.101952,"ns/op",GS,1000,32,128,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,38245371.261766,151161.260512,"ns/op",GS,1000,32,256,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,91656073.597500,358767.889263,"ns/op",GS,1000,32,512,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,201803463.523000,708386.193844,"ns/op",GS,1000,32,1024,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,593763926.300000,34493605.870477,"ns/op",GS,1000,32,2048,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,2565659844.600000,28700316.094142,"ns/op",GS,1000,32,4096,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,171749.557509,345.130456,"ns/op",GS,1000,64,2,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,474780.110696,2038.752134,"ns/op",GS,1000,64,4,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,877876.012768,7820.955221,"ns/op",GS,1000,64,8,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,1245223.018694,6883.771959,"ns/op",GS,1000,64,16,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,2608600.655423,12755.319471,"ns/op",GS,1000,64,32,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,5920758.710082,19549.211406,"ns/op",GS,1000,64,64,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,14112405.909590,41980.760056,"ns/op",GS,1000,64,128,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,35890598.628350,159359.023894,"ns/op",GS,1000,64,256,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,90063832.078636,433877.042375,"ns/op",GS,1000,64,512,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,201397981.284667,3701277.882810,"ns/op",GS,1000,64,1024,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,714914719.105000,29716204.298736,"ns/op",GS,1000,64,2048,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,1907934487.220000,64384830.957411,"ns/op",GS,1000,64,4096,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,171221.986540,255.976757,"ns/op",GS,1000,128,2,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,467839.232497,16003.519953,"ns/op",GS,1000,128,4,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,885597.617912,11973.409906,"ns/op",GS,1000,128,8,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,1240597.079659,3983.116349,"ns/op",GS,1000,128,16,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,2611106.581629,12282.464391,"ns/op",GS,1000,128,32,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,5944836.908494,22739.768597,"ns/op",GS,1000,128,64,
"org.sfm.benchmark.csv.ObjectSizeSfmCsvMapperShardingBenchmark.testMap","avgt",1,100.000000,13867474.946552,96321.641316,"ns/op",GS,1000,128,128,
